Year,Country,Titleholder,Age,Hometown,National Title,Date,Entrants
1951,,,,,,,
1952, Finland,Armi Kuusela,17,Muhos,Suomen Neito 1952,"June 28, 1952",30
1953, France,Christiane Martel,17,Créteil,Miss Cinémonde 1953,"July 17, 1953",26
1954, United States,Miriam Stevenson,21,Winnsboro,Miss USA 1954,"July 24, 1954",33
1955, Sweden,Hillevi Rombin,21,Alfta,Miss Sweden 1955,"July 22, 1955",33
1956, United States,Carol Morris,20,Ottumwa,Miss USA 1956,"July 20, 1956",30
1957, Peru,Gladys Zender,17,Lima,Miss Perú 1957,"July 19, 1957",32
1958, Colombia,Luz Marina,19,Pereira,Virreina Colombia 1957,"July 26, 1958",36
1959, Japan,Akiko Kojima,22,Tokyo,Miss Japan 1959,"July 24, 1959",34
1960, United States,Linda Bement,18,Salt Lake City,Miss USA 1960,"July 9, 1960",43
1961, Germany,Marlene Schmidt,23,Stuttgart,Miss Germany 1961,"July 15, 1961",48
1962, Argentina,Norma Nolan,24,Venado Tuerto,Miss Argentina 1962,"July 14, 1962",52
1963, Brazil,Iêda Maria,18,Porto Alegre,Miss Brazil 1963,"July 20, 1963",50
1964, Greece,Corinna Tsopei,20,Athens,Star Hellas 1964,"August 1, 1964",60
1965, Thailand,Apasra Hongsakula,18,Bangkok,Miss Thailand 1964,"July 24, 1965",57
1966, Sweden,Margareta Arvidsson,18,Gothenburg,Miss Sweden 1966,"July 16, 1966",58
1967, United States,Sylvia Hitchcock,21,Miami,Miss USA 1967,"July 15, 1967",56
1968, Brazil,Martha Vasconcellos,20,Salvador,Miss Brazil 1968,"July 13, 1968",65
1969, Philippines,Gloria Diaz,18,Aringay,Binibining Pilipinas - Universe 1969,"July 19, 1969",61
1970, Puerto Rico,Marisol Malaret,20,San Juan,Miss Puerto Rico 1970,"July 11, 1970",64
1971, Lebanon,Georgina Rizk,18,Beirut,Miss Lebanon 1970,"July 24, 1971",60
1972, Australia,Kerry Anne,20,Perth,Miss Australia 1972,"July 29, 1972",61
1973, Philippines,Margie Moran,19,Mambusao,Binibining Pilipinas - Universe 1973,"July 21, 1973",61
1974, Spain,Amparo Muñoz,20,Vélez-Málaga,Miss España 1973,"July 19, 1974",65
1975, Finland,Anne Marie,19,Helsinki,Miss Suomi 1975,"July 19, 1975",71
1976, Israel,Rina Messinger,20,Kiryat Tiv'on,Miss Israel 1976,"July 11, 1976",72
1977, Trinidad and Tobago,Janelle Commissiong,24,Port of Spain,Miss Trinidad & Tobago 1977,"July 16, 1977",80
1978, South Africa,Margaret Gardiner,18,Cape Town,Miss Republic of South Africa 1978,"July 24, 1978",75
1979, Venezuela,Maritza Sayalero,18,Caracas,Miss Venezuela 1979,"July 20, 1979",75
1980, United States,Shawn Weatherly,20,Sumter,Miss USA 1980,"July 8, 1980",69
1981, Venezuela,Irene Sáez,19,Caracas,Miss Venezuela 1981,"July 20, 1981",76
1982, Canada,Karen Dianne,18,London,Miss Canada 1982,"July 26, 1982",77
1983, New Zealand,Lorraine Downes,19,Auckland,Miss New Zealand 1983,"July 11, 1983",80
1984, Sweden,Yvonne Ryding,21,Eskilstuna,Miss Sweden 1984,"July 9, 1984",81
1985, Puerto Rico,Deborah Carthy,19,San Juan,Miss Puerto Rico 1985,"July 15, 1985",79
1986, Venezuela,Bárbara Palacios,22,Caracas,Miss Venezuela 1986,"July 21, 1986",77
1987, Chile,Cecilia Bolocco,22,Santiago,Miss Chile 1987,"May 27, 1987",68
1988, Thailand,Porntip Nakhirunkanok,20,Bangkok,Miss Thailand 1988,"May 24, 1988",66
1989, Netherlands,Angela Visser,22,Rotterdam,Miss Holland 1988,"May 23, 1989",76
1990, Norway,Mona Grudt,19,Trondheim,Norske Miss Universe 1990,"April 15, 1990",71
1991, Mexico,Lupita Jones,23,Mexicali,Señorita México 1990,"May 17, 1991",73
1992, Namibia,Michelle McLean,19,Windhoek,Miss Namibia 1991,"May 8, 1992",78
1993, Puerto Rico,Dayanara Torres,18,Toa Alta,Miss Puerto Rico 1993,"May 21, 1993",79
1994, India,Sushmita Sen,18,New Delhi,Femina Miss India 1994,"May 21, 1994",77
1995, United States,Chelsi Smith,21,Deer Park,Miss USA 1995,"May 12, 1995",82
1996, Venezuela,Alicia Machado,19,Maracay,Miss Venezuela 1995,"May 17, 1996",79
1997, United States,Brook Lee,26,Pearl City,Miss USA 1997,"May 16, 1997",74
1998, Trinidad and Tobago,Wendy Fitzwilliam,25,Diego Martin,Miss Trinidad and Tobago Universe 1998,"May 12, 1998",81
1999, Botswana,Mpule Kwelagobe,19,Gaborone,Miss Botswana Universe 1999,"May 26, 1999",84
2000, India,Lara Dutta,22,Mumbai,Femina Miss India 2000,"May 12, 2000",79
2001, Puerto Rico,Denise Quiñones,20,Lares,Miss Puerto Rico Universe 2001,"May 11, 2001",77
2002, Russia,Oxana Fedorova,24,Pskov,Miss Russia 2001,"May 29, 2002",75
2002, Panama,Justine Pasek,23,Panama City,Señorita Panamá 2001,"September 24, 2002",73
2003, Dominican Republic,Amelia Vega,18,Santiago,Miss República Dominicana 2002,"June 3, 2003",71
2004, Australia,Jennifer Hawkins,20,Newcastle,Miss Australia 2004,"June 1, 2004",80
2005, Canada,Natalie Glebova,23,Toronto,Miss Universe Canada 2005,"May 31, 2005",81
2006, Puerto Rico,Zuleyka Rivera,18,Salinas,Miss Puerto Rico Universe 2006,"July 23, 2006",86
2007, Japan,Riyo Mori,20,Shizuoka,Miss Universe Japan 2007,"May 28, 2007",77
2008, Venezuela,Dayana Mendoza,22,Caracas,Miss Venezuela 2007,"July 14, 2008",80
2009, Venezuela,Stefanía Fernández,18,Mérida,Miss Venezuela 2008,"August 23, 2009",83
2010, Mexico,Ximena Navarrete,22,Guadalajara,Nuestra Belleza México 2009,"August 23, 2010",83
2011, Angola,Leila Lopes,25,Benguela,Miss Angola 2010,"September 12, 2011",89
2012, United States,Olivia Culpo,20,Cranston,Miss USA 2012,"December 19, 2012",89
2013, Venezuela,Gabriela Isler,25,Valencia,Miss Venezuela 2012,"November 9, 2013",86
2014, Colombia,Paulina Vega,22,Barranquilla,Señorita Colombia 2013-2014,"January 25, 2015",88
2015, Philippines,Pia Wurtzbach,26,Cagayan de Oro,Miss Universe Philippines 2015,"December 20, 2015",80
2016, France,Iris Mittenaere,24,Lille,Miss France 2016,"January 30, 2017",86
2017, South Africa,Demi-Leigh,22,Sedgefield,Miss South Africa 2017,"November 26, 2017",92
2018, Philippines,Catriona Gray,24,Oas,Miss Universe Philippines 2018,"December 17, 2018",94
2019, South Africa,Zozibini Tunzi,26,Tsolo,Miss South Africa 2019,"December 8, 2019",90
2020, Mexico,Andrea Meza,26,Chihuahua City,Mexicana Universal 2020,"May 16, 2021",74
2021, India,Harnaaz Sandhu,21,Chandigarh,Miss Diva Universe 2021,"December 13, 2021",80
2022,United States,R'Bonney Gabriel,29,Houston,Miss USA 2022,"January 14, 2023",83
